都道府県名,二次医療圏番号,二次医療圏名,"合計(40～44歳, 18.5以上20.0未満)","合計(40～44歳, 18.5未満)","合計(40～44歳, 20.0以上25.0未満)","合計(40～44歳, 25.0以上30.0未満)","合計(40～44歳, 30.0以上35.0未満)","合計(40～44歳, 35.0以上40.0未満)","合計(40～44歳, 40.0以上)","合計(45～49歳, 18.5以上20.0未満)","合計(45～49歳, 18.5未満)","合計(45～49歳, 20.0以上25.0未満)","合計(45～49歳, 25.0以上30.0未満)","合計(45～49歳, 30.0以上35.0未満)","合計(45～49歳, 35.0以上40.0未満)","合計(45～49歳, 40.0以上)","合計(50～54歳, 18.5以上20.0未満)","合計(50～54歳, 18.5未満)","合計(50～54歳, 20.0以上25.0未満)","合計(50～54歳, 25.0以上30.0未満)","合計(50～54歳, 30.0以上35.0未満)","合計(50～54歳, 35.0以上40.0未満)","合計(50～54歳, 40.0以上)","合計(55～59歳, 18.5以上20.0未満)","合計(55～59歳, 18.5未満)","合計(55～59歳, 20.0以上25.0未満)","合計(55～59歳, 25.0以上30.0未満)","合計(55～59歳, 30.0以上35.0未満)","合計(55～59歳, 35.0以上40.0未満)","合計(55～59歳, 40.0以上)","合計(60～64歳, 18.5以上20.0未満)","合計(60～64歳, 18.5未満)","合計(60～64歳, 20.0以上25.0未満)","合計(60～64歳, 25.0以上30.0未満)","合計(60～64歳, 30.0以上35.0未満)","合計(60～64歳, 35.0以上40.0未満)","合計(60～64歳, 40.0以上)","合計(65～69歳, 18.5以上20.0未満)","合計(65～69歳, 18.5未満)","合計(65～69歳, 20.0以上25.0未満)","合計(65～69歳, 25.0以上30.0未満)","合計(65～69歳, 30.0以上35.0未満)","合計(65～69歳, 35.0以上40.0未満)","合計(65～69歳, 40.0以上)","合計(70～74歳, 18.5以上20.0未満)","合計(70～74歳, 18.5未満)","合計(70～74歳, 20.0以上25.0未満)","合計(70～74歳, 25.0以上30.0未満)","合計(70～74歳, 30.0以上35.0未満)","合計(70～74歳, 35.0以上40.0未満)","合計(70～74歳, 40.0以上)"
北海道,0101,南渡島,279,148,2628,1627,446,120,29,335,140,3149,2217,618,143,39,338,137,2920,2057,509,101,33,282,127,2789,1761,388,63,14,272,139,2580,1588,279,27,12,226,114,2205,1483,184,15,,243,106,2433,1453,161,12,
北海道,0102,南檜山,21,,111,96,41,,,17,,181,131,31,,,21,,153,145,41,,,15,,159,135,25,,,16,,149,129,21,,,13,,148,106,12,,,12,,149,112,14,,
北海道,0103,北渡島檜山,22,13,201,159,58,19,,21,10,223,215,56,12,,17,12,215,194,43,22,,28,14,224,157,34,,,19,10,207,147,41,,,18,,176,148,20,,,23,,180,145,21,,
北海道,0104,札幌,2857,1258,21734,11419,2801,615,208,2687,1079,25315,15102,3767,812,248,2357,954,23567,15209,3477,694,147,2116,781,20895,13304,2582,379,65,1803,820,18184,11420,1818,214,49,1072,501,11308,6914,872,87,,666,326,6922,3852,431,43,
北海道,0105,後志,150,60,1376,855,245,59,16,174,67,1728,1186,358,71,21,181,71,1646,1132,303,71,,135,61,1555,1111,230,36,,136,69,1367,973,151,22,,111,60,1270,858,127,13,,138,67,1368,755,98,12,
北海道,0106,南空知,111,47,910,599,167,44,20,122,59,1228,896,277,62,12,116,53,1064,845,215,49,11,133,56,1160,835,183,36,,112,66,1209,835,137,24,,78,60,1121,709,113,16,,113,49,1082,634,74,10,
北海道,0107,中空知,55,44,599,359,125,28,,73,42,828,601,173,52,10,71,38,762,566,162,39,,74,29,788,565,123,21,,81,32,772,508,91,22,,85,33,637,458,66,,,79,42,865,471,66,,
北海道,0108,北空知,23,,146,111,26,,,17,,199,154,47,,,12,,190,164,37,,,25,,214,157,47,,,19,,216,168,26,,,17,,199,149,19,,,29,11,251,140,14,,
北海道,0109,西胆振,181,66,1205,748,219,50,26,170,78,1621,1108,324,77,30,164,58,1467,984,278,52,13,147,53,1310,880,169,32,,133,58,1209,794,130,25,,122,55,1153,761,99,,,135,68,1424,812,96,,
北海道,0110,東胆振,266,115,1982,1190,324,64,24,240,104,2320,1699,427,102,28,190,64,1953,1465,379,61,18,186,88,1767,1258,271,39,12,157,63,1516,1105,192,31,,146,69,1461,984,135,,,138,64,1635,1018,121,,
北海道,0111,日高,60,18,430,261,69,19,,48,14,500,361,103,25,,40,21,446,327,96,17,,41,17,381,308,75,14,,28,17,380,269,61,,,27,13,314,247,39,,,23,10,328,233,34,,
北海道,0112,上川中部,366,144,2740,1517,372,85,31,386,150,3338,2040,507,121,32,300,135,3044,1954,509,100,20,275,119,2738,1764,400,62,12,265,126,2676,1681,299,29,10,221,105,2315,1403,200,17,,229,123,2549,1403,129,17,
北海道,0113,上川北部,39,11,442,274,69,23,,59,37,523,362,88,19,,41,17,464,400,90,21,,46,21,491,333,81,11,,40,24,489,381,61,,,32,15,421,299,54,,,43,19,509,337,43,,
北海道,0114,富良野,30,12,290,175,49,,,41,11,354,186,60,19,,36,18,320,242,54,,,39,13,376,227,44,,,31,18,329,236,30,,,31,16,312,225,22,,,40,24,389,231,25,,
北海道,0115,留萌,25,,221,183,54,19,10,33,16,326,253,81,28,,32,13,286,273,70,11,,31,,305,232,50,12,,30,13,298,217,44,,,12,15,246,205,37,,,20,15,248,183,28,,
北海道,0116,宗谷,40,15,435,337,101,29,,56,20,567,430,157,30,,46,,489,391,108,37,,45,14,466,398,93,12,,39,21,453,357,61,11,,34,,399,328,38,,,35,16,364,273,27,,
北海道,0117,北網,174,99,1544,955,260,62,21,202,84,1871,1302,329,69,30,154,74,1646,1236,294,50,14,155,87,1558,1207,238,39,,168,59,1524,1081,190,35,,108,47,1102,813,126,,,107,46,1227,810,102,,
北海道,0118,遠紋,45,27,383,257,97,29,10,39,17,484,385,131,30,,42,20,501,390,95,21,,44,17,471,399,93,13,,39,20,441,339,68,,,34,19,369,264,42,,,37,22,447,286,36,,
北海道,0119,十勝,354,135,2580,1518,374,91,31,317,137,3112,2052,568,134,40,271,110,2780,1996,543,97,21,276,122,2689,1893,418,55,16,244,136,2553,1758,336,35,,197,92,2216,1554,221,22,,227,105,2463,1602,175,12,
北海道,0120,釧路,192,75,1672,1093,321,89,20,199,81,2059,1444,425,113,28,174,83,1925,1450,379,90,13,183,83,1749,1263,289,43,,178,62,1695,1215,221,28,,136,75,1420,981,127,,,135,75,1521,925,116,,
北海道,0121,根室,52,22,481,342,92,29,,43,22,543,433,124,32,12,37,,484,381,99,15,,44,18,454,375,85,10,,37,25,422,307,52,,,22,,369,267,25,,,27,23,340,230,23,,
青森県,0201,津軽地域,264,119,2261,1352,360,83,37,265,90,2399,1673,421,89,21,245,98,2339,1526,403,78,14,229,121,2410,1434,258,39,,261,119,2346,1372,202,17,,195,100,1938,1119,134,,,223,123,2111,1133,107,,
青森県,0202,八戸地域,361,168,3005,1821,504,115,38,392,172,3511,2357,613,151,40,424,179,3621,2353,534,82,26,335,161,3449,2048,378,53,11,367,173,3342,1856,262,33,,259,111,2672,1554,186,,,224,145,2538,1409,148,,
青森県,0203,青森地域,302,129,2767,1780,437,119,30,347,136,3307,2248,609,147,37,315,135,3196,2109,490,87,21,338,147,3114,2013,394,45,,299,152,2952,1867,317,39,13,215,114,2304,1391,188,22,,246,133,2634,1408,142,12,
青森県,0204,西北五地域,104,33,729,515,156,25,12,88,39,915,653,191,42,,85,35,928,663,173,41,,104,47,1022,726,130,23,,103,39,927,632,105,,,108,45,931,581,79,12,,109,63,948,577,60,,
青森県,0205,上十三地域,170,51,1533,974,270,84,26,168,73,1701,1199,325,82,26,148,72,1663,1134,245,46,12,156,71,1568,968,211,20,,157,80,1537,983,136,,,118,47,1433,814,90,11,,137,72,1467,759,76,,
青森県,0206,下北地域,48,23,431,357,107,23,12,55,18,532,444,159,26,,56,20,517,404,103,27,,48,19,533,417,86,15,,57,20,550,401,76,,,42,19,502,369,41,,,45,31,533,349,37,,
岩手県,0301,盛岡,638,295,5070,2856,706,168,58,606,271,5685,3622,919,199,56,553,255,5238,3587,760,161,35,507,221,4902,3101,596,82,11,460,233,4773,2804,481,61,,368,149,3925,2416,280,40,,384,208,4342,2515,269,16,
岩手県,0302,岩手中部,335,138,2470,1403,375,100,25,289,123,2700,1694,464,89,26,280,101,2289,1562,390,62,20,263,133,2268,1462,284,30,,238,128,2123,1244,206,26,,222,113,1953,1161,140,,,212,100,2099,1178,111,,
岩手県,0303,胆江,221,98,1410,767,184,39,11,188,103,1548,960,268,56,11,152,80,1311,828,192,38,,147,80,1338,810,132,20,,154,84,1426,763,122,12,,152,91,1391,748,85,,,169,83,1449,737,79,,
岩手県,0304,両磐,161,75,1144,597,178,41,,141,68,1229,785,195,46,,113,61,1139,690,167,25,10,123,66,1179,721,132,20,,177,63,1246,672,87,11,,140,70,1224,616,73,,,135,59,1316,624,56,,
岩手県,0305,気仙,45,20,417,278,73,27,,67,24,564,381,120,14,,62,22,572,420,107,14,,71,29,585,413,91,13,,54,27,562,339,47,,,62,32,522,307,34,,,52,23,579,355,31,,
岩手県,0306,釜石,30,15,329,230,82,19,,37,15,393,322,86,18,,39,19,416,299,82,14,,42,16,377,313,70,12,,35,21,336,269,55,,,33,15,362,237,32,,,28,12,370,213,24,,
岩手県,0307,宮古,72,25,533,364,112,26,,58,31,571,440,157,20,12,71,32,694,502,154,29,,77,32,696,504,99,12,,67,26,623,439,66,,,53,21,693,402,62,,,83,26,804,526,43,,
岩手県,0308,久慈,41,19,423,276,82,19,,55,17,517,349,93,17,,60,19,536,366,69,26,,52,27,507,325,59,,,49,29,592,376,64,,,49,17,526,349,31,,,41,10,620,390,51,,
岩手県,0309,二戸,57,31,393,275,67,15,,67,14,461,334,97,17,10,47,28,494,359,89,17,,60,27,570,346,56,,,66,32,582,342,47,,,88,20,626,362,43,,,59,27,655,353,43,,
宮城県,0401,仙南,217,96,1559,1047,263,68,20,202,80,1735,1192,285,67,25,175,75,1494,1057,281,61,13,173,91,1496,969,190,30,,189,96,1617,1035,158,,,194,103,1813,1053,144,19,,218,94,1963,1142,114,,
宮城県,0403,仙台,2295,1036,18039,9633,2278,537,149,2301,923,20686,12318,2985,596,177,1946,786,18872,11967,2603,483,102,1658,693,15719,9772,1876,265,56,1395,702,13729,8272,1322,143,27,1155,517,12119,7164,892,95,,1339,658,13519,7491,795,62,
宮城県,0406,大崎・栗原,340,139,2645,1652,480,100,29,305,130,2672,1867,495,122,30,227,120,2286,1665,419,80,36,276,117,2501,1576,346,39,11,305,127,2705,1699,266,,,285,122,2750,1578,211,18,,259,105,2752,1679,155,,
宮城県,0409,石巻・登米・気仙沼,327,171,2872,1941,544,130,42,326,134,3141,2370,608,157,33,313,124,2973,2234,559,95,32,295,122,2946,2166,454,59,,288,147,3133,2122,353,45,,308,153,3204,2133,266,20,,336,142,3630,2349,277,30,
秋田県,0501,大館・鹿角,117,48,938,538,122,33,,111,46,1106,655,164,29,13,101,44,950,614,151,26,,115,57,1022,671,108,15,,107,57,1071,645,83,,,100,46,936,537,52,,,106,45,941,509,45,,
