値段,サイズ,アルコール度数,評判,色,アロマ,味わい,年代,年代 3,性別,因子1,因子2
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,男性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,男性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
