通番,系列,店舗,住所,LocName,fX,fY,iConf,iLvl
1,NY,ニューヤマザキデイリーストア　大津市役所店,滋賀県大津市御陵町３－１,滋賀県/大津市/御陵町/３番,135.85393,35.01836,5,7
2,F,ファミリーマート石山駅前店,滋賀県大津市粟津町９－２,滋賀県/大津市/粟津町/９番,135.90054,34.97886,5,7
3,F,ファミリーマートエフ・マーケット大津南郷店,滋賀県大津市南郷２丁目１－１南郷プラザ１階,滋賀県/大津市/南郷/二丁目/１番,135.90779,34.94273,5,7
4,F,ファミリーマート皇子が丘公園前店,滋賀県大津市山上町６－３６,滋賀県/大津市/山上町/６番,135.85481,35.02217,5,7
5,F,ファミリーマート大津朝日が丘店,滋賀県大津市朝日が丘一丁目１番２号,滋賀県/大津市/朝日が丘/一丁目/１番,135.86673,35.00192,5,7
6,F,ファミリーマート大津石山寺南店,滋賀県大津市石山寺三丁目１７番１１号,滋賀県/大津市/石山寺/三丁目/１７番,135.90721,34.95424,5,7
7,F,ファミリーマート大津稲津一丁目店,滋賀県大津市稲津一丁目５番３９号,滋賀県/大津市/稲津/一丁目/５番,135.91312,34.94801,5,7
8,F,ファミリーマート大津今堅田店,滋賀県大津市今堅田二丁目６番地の４,滋賀県/大津市/今堅田/二丁目/６番,135.92015,35.12061,5,7
9,F,ファミリーマート大津大萱店,滋賀県大津市大萱４丁目４番２０号,滋賀県/大津市/大萱/四丁目/４番,135.91499,34.9863,5,7
10,F,ファミリーマート大津雄琴駅前店,滋賀県大津市雄琴北１丁目２番１６号,滋賀県/大津市/雄琴北/一丁目/２番,135.89578,35.0966,5,7
11,F,ファミリーマート大津唐崎一丁目店,滋賀県大津市唐崎一丁目６４４番地,滋賀県/大津市/唐崎/一丁目,135.87224,35.04808,5,6
12,F,ファミリーマート大津唐崎店,滋賀県大津市あかね町２７２－２,滋賀県/大津市/あかね町,135.86348,35.04271,5,5
13,F,ファミリーマート大津京駅前店,滋賀県大津市皇子が丘２－１０－２７,滋賀県/大津市/皇子が丘/二丁目/１０番,135.85776,35.02355,5,7
14,F,ファミリーマート大津黒津店,滋賀県大津市黒津２－２０－１２,滋賀県/大津市/黒津/二丁目/２０番,135.91722,34.94308,5,7
15,F,ファミリーマート大津国分店,滋賀県大津市国分一丁目３３番５号,滋賀県/大津市/国分/一丁目/３３番,135.89212,34.97029,5,7
16,F,ファミリーマート大津御殿浜店,滋賀県大津市御殿浜２２－５,滋賀県/大津市/御殿浜/２２番,135.89639,34.98914,5,7
17,F,ファミリーマート大津神領二丁目店,滋賀県大津市神領２－３２－１２,滋賀県/大津市/神領/二丁目/３２番,135.91756,34.97025,5,7
18,F,ファミリーマート大津瀬田四丁目店,滋賀県大津市瀬田４－２６６－１,滋賀県/大津市/瀬田/四丁目,135.90877,34.96348,5,6
19,F,ファミリーマート大津膳所駅前店,滋賀県大津市馬場３丁目１－１,滋賀県/大津市/馬場/三丁目/１番,135.88246,34.99879,5,7
20,F,ファミリーマート大津大将軍店,滋賀県大津市大将軍１－８－１０,滋賀県/大津市/大将軍/一丁目/８番,135.9227,34.99449,5,7
21,F,ファミリーマート大津高砂店,滋賀県大津市高砂町１番１号,滋賀県/大津市/高砂町/１番,135.8577,35.03915,5,7
22,F,ファミリーマート大津茶が崎店,滋賀県大津市茶が崎５番２５号,滋賀県/大津市/茶が崎/５番,135.86316,35.02474,5,7
23,F,ファミリーマート大津月輪三丁目店,滋賀県大津市月輪３－１１－２７,滋賀県/大津市/月輪/三丁目/１１番,135.93649,34.98489,5,7
24,F,ファミリーマート大津ときめき坂店,滋賀県大津市馬場一丁目１１番１０号,滋賀県/大津市/馬場/一丁目/１１番,135.88138,35.00254,5,7
25,F,ファミリーマート大津におの浜三丁目店,滋賀県大津市におの浜３丁目４番６１号,滋賀県/大津市/におの浜/三丁目/４番,135.88461,35.00324,5,7
26,F,ファミリーマート大津におの浜店,滋賀県大津市におの浜二丁目１番１７号,滋賀県/大津市/におの浜/二丁目/１番,135.88077,35.00463,5,7
27,F,ファミリーマート大津西の庄店,滋賀県大津市西の庄１２－８,滋賀県/大津市/西の庄/１２番,135.88742,35.0018,5,7
28,F,ファミリーマート大津ひえい平店,滋賀県大津市比叡平３丁目４５番地２５,滋賀県/大津市/比叡平/三丁目/４５番,135.82916,35.03556,5,7
29,F,ファミリーマート大津平野店,滋賀県大津市平野２丁目９００番１０,滋賀県/大津市/平野/二丁目,135.95781,34.96759,5,6
30,F,ファミリーマート大津真野店,滋賀県大津市真野六丁目５番３１号,滋賀県/大津市/真野/六丁目/５番,135.92351,35.13479,5,7
31,F,ファミリーマートおごと温泉店,滋賀県大津市雄琴一丁目１６－２７,滋賀県/大津市/雄琴/一丁目/１６番,135.89635,35.09058,5,7
32,F,ファミリーマート市立大津市民病院店,滋賀県大津市本宮二丁目９番９号,滋賀県/大津市/本宮/二丁目/９番,135.87697,34.99987,5,7
33,F,ファミリーマートそがわ千町店,滋賀県大津市千町１－２－３５,滋賀県/大津市/千町/一丁目/２番,135.8983,34.94646,5,7
34,F,ファミリーマート玉野浦店,滋賀県大津市玉野浦６－１４,滋賀県/大津市/玉野浦/６番,135.9082,34.98122,5,7
35,F,ファミリーマートびわ湖浜大津駅前店,滋賀県大津市浜大津２－１－２８,滋賀県/大津市/浜大津/二丁目/１番,135.86263,35.01107,5,7
36,F,ファミリーマート和邇南浜店,滋賀県大津市和邇南浜１６－２,滋賀県/大津市/和邇南浜/１６番地,135.92393,35.16084,5,7
37,M,ミニストップ大津石山寺３丁目店,滋賀県大津市石山寺３－２５－１,滋賀県/大津市/石山寺/三丁目/２５番,135.90666,34.95562,5,7
38,M,ミニストップ大津大萱店,滋賀県大津市大萱六丁目５番１号,滋賀県/大津市/大萱/六丁目/５番,135.91573,34.9934,5,7
39,M,ミニストップ大津唐崎店,滋賀県大津市唐崎１－２－２５,滋賀県/大津市/唐崎/一丁目/２番,135.87314,35.04696,5,7
40,M,ミニストップ大津大門通店,滋賀県大津市大門通１６－５２,滋賀県/大津市/大門通/１６番,135.85777,35.01453,5,7
41,O,ヤギコーポレーション,滋賀県大津市際川２丁目１－１８,滋賀県/大津市/際川/二丁目/１番,135.86494,35.03744,5,7
42,L,ローソン大萱一丁目店,滋賀県大津市大萱１－７－１４,滋賀県/大津市/大萱/一丁目/７番,135.92448,34.98474,5,7
43,L,ローソン大津伊香立店,滋賀県大津市伊香立向在地町字川原１７１－１,滋賀県/大津市/伊香立向在地町,135.87668,35.13691,5,5
44,L,ローソン大津一里山店,滋賀県大津市一里山２－１４－２０,滋賀県/大津市/一里山/二丁目/１４番,135.92969,34.98149,5,7
45,L,ローソン大津打出浜店,滋賀県大津市打出浜１３－４５,滋賀県/大津市/打出浜/１３番,135.87704,35.00494,5,7
46,L,ローソン大津駅前店,滋賀県大津市京町２－６０,滋賀県/大津市/京町/二丁目,135.8651,35.00626,5,6
47,L,ローソン大津大石東店,滋賀県大津市大石東６－２－２,滋賀県/大津市/大石東/六丁目/２番,135.91472,34.91352,5,7
48,L,ローソン大津大江二丁目店,滋賀県大津市大江二丁目１７－２５,滋賀県/大津市/大江/二丁目/１７番,135.91725,34.98065,5,7
49,L,ローソン大津仰木の里東店,滋賀県大津市仰木の里東５－１－１１,滋賀県/大津市/仰木の里東/五丁目/１番,135.90169,35.10744,5,7
50,L,ローソン大津大平一丁目店,滋賀県大津市大平一丁目３番４号,滋賀県/大津市/大平/一丁目/３番,135.89586,34.95606,5,7
51,L,ローソン大津堅田駅西店,滋賀県大津市本堅田６字桜２１４１,滋賀県/大津市/本堅田/六丁目,135.91042,35.11859,5,6
52,L,ローソン大津際川三丁目店,滋賀県大津市際川３－３２－１,滋賀県/大津市/際川/三丁目/３２番,135.86763,35.04315,5,7
53,L,ローソン大津栄町店,滋賀県大津市栄町２－１,滋賀県/大津市/栄町/２番,135.90051,34.97678,5,7
54,L,ローソン大津坂本七丁目店,滋賀県大津市坂本７－２０－１,滋賀県/大津市/坂本/七丁目/２０番,135.87944,35.07526,5,7
55,L,ローソン大津市萱野浦店,滋賀県大津市萱野浦３３０４－１９,滋賀県/大津市/萱野浦,135.91124,34.99008,5,5
56,L,ローソン大津島の関店,滋賀県大津市島の関１１－４,滋賀県/大津市/島の関/１１番,135.87114,35.00849,5,7
57,L,ローソン大津中央二丁目店,滋賀県大津市中央２－８１３－１,滋賀県/大津市/中央/二丁目,135.86636,35.00792,5,6
58,L,ローソン大津南郷一丁目店,滋賀県大津市南郷１－１０－４１,滋賀県/大津市/南郷/一丁目/１０番,135.90942,34.94185,5,7
59,L,ローソン大津平野二丁目店,滋賀県大津市平野２－１３－７,滋賀県/大津市/平野/二丁目/１３番,135.95692,34.96009,5,7
60,L,ローソン大津富士見台店,滋賀県大津市富士見台１４７５－４,滋賀県/大津市/富士見台,135.88483,34.98246,5,5
61,L,ローソン大津本堅田四丁目店,滋賀県大津市本堅田４－１９－１,滋賀県/大津市/本堅田/四丁目/１９番,135.91942,35.11954,5,7
62,L,ローソンおごと温泉店,滋賀県大津市苗鹿２－３５－５,滋賀県/大津市/苗鹿/二丁目/３５番,135.89236,35.08664,5,7
63,L,ローソン国道膳所店,滋賀県大津市馬場３－１６－５０,滋賀県/大津市/馬場/三丁目/１６番,135.88225,34.9973,5,7
64,L,ローソン志賀荒川店,滋賀県大津市荒川１０２３,滋賀県/大津市/荒川/１０２３番地,135.92348,35.20736,5,7
65,L,ローソン滋賀医大病院店,滋賀県大津市瀬田月輪町,滋賀県/大津市/瀬田月輪町,135.94691,34.97444,5,5
66,L,ローソン瀬田駅前店,滋賀県大津市大萱１－１８－３４,滋賀県/大津市/大萱/一丁目/１８番,135.92618,34.98706,5,7
67,L,ローソン膳所本町店,滋賀県大津市丸の内町３－３０,滋賀県/大津市/丸の内町/３番,135.89243,34.99564,5,7
