都道府県名,都道府県・市区町村名,city,"都道府県・市区町村名
（英語）","市などの別
（地域識別コード）",総数,男,女,2015年（平成27年）の人口（組替）,5年間の人口増減数,5年間の人口増減率,面積（参考）,人口密度,平均年齢,年齢中位数,t15歳未満,t15～64歳,t65歳以上,rt15歳未満,rt15～64歳,rt65歳以上,m15歳未満,m15～64歳,m65歳以上,rm15歳未満,rm15～64歳,rm65歳以上,f15歳未満,f15～64歳,f65歳以上,rf15歳未満,rf15～64歳,rf65歳以上,人口性比,日本人,外国人,総世帯,一般世帯,施設等の世帯,2015年（平成27年）の世帯数（組替）,一般世帯,"うち
核家族世帯",夫婦のみの世帯,"夫婦と子供
から成る世帯","男親と子供
から成る世帯","女親と子供
から成る世帯","うち
単独世帯","うち
65歳以上の単独世帯","（再掲）
夫65歳以上，妻60歳以上の夫婦のみの世帯","（再掲）
3世代世帯"
25_滋賀県,25000,滋賀県,Shiga-ken,a,1413610,697429,716181,1412916,694,0,4017,352,46,47,192256,849686,371668,14,60,26,98854,432974,165601,14,62,24,93402,416712,206067,13,58,29,97,1380486,33124,571374,570529,845,537550,570529,330640,115817,167640,7179,40004,182011,53625,70197,35996
25_滋賀県,25201,大津市,Otsu-shi,2,345070,166673,178397,340973,4097,1,465,743,47,48,45543,206296,93231,13,60,27,23251,102167,41255,14,61,25,22292,104129,51976,13,58,29,93,340062,5008,146088,145891,197,136153,145891,88738,32253,43723,1781,10981,47764,16248,19513,5078
25_滋賀県,25202,彦根市,Hikone-shi,2,113647,56492,57155,113679,-32,0,197,577,46,46,14970,70002,28675,13,62,25,7753,36075,12664,14,64,22,7217,33927,16011,13,59,28,99,111006,2641,48212,48137,75,45546,48137,26784,9434,13337,576,3437,17194,4510,5597,2392
25_滋賀県,25203,長浜市,Nagahama-shi,2,113636,55406,58230,118193,-4557,-4,681,167,48,48,14738,66015,32883,13,58,29,7622,33264,14520,14,60,26,7116,32751,18363,12,56,32,95,109939,3697,42570,42513,57,41788,42513,23301,8220,11511,611,2959,11986,4212,5271,4856
25_滋賀県,25204,近江八幡市,Omihachiman-shi,2,81122,39676,41446,81312,-190,0,177,457,46,47,11348,47156,22618,14,58,28,5739,23859,10078,15,60,25,5609,23297,12540,14,56,30,96,79635,1487,31403,31367,36,29784,31367,19288,6744,9639,442,2463,8381,3026,4266,2353
25_滋賀県,25206,草津市,Kusatsu-shi,2,143913,72646,71267,137247,6666,5,68,2122,43,43,19722,93062,31129,14,65,22,10166,48700,13780,14,67,19,9556,44362,17349,13,62,24,102,140615,3298,66944,66870,74,60224,66870,32579,10921,17572,558,3528,30517,4620,6262,2233
25_滋賀県,25207,守山市,Moriyama-shi,2,83236,40872,42364,79859,3377,4,56,1493,43,44,13687,51196,18353,16,62,22,6983,25561,8328,17,63,20,6704,25635,10025,16,61,24,97,82122,1114,31796,31762,34,29052,31762,20516,6401,11477,384,2254,8473,2432,3653,1798
25_滋賀県,25208,栗東市,Ritto-shi,2,68820,34110,34710,66749,2071,3,53,1306,42,42,11363,44238,13219,17,64,19,5791,22367,5952,17,66,17,5572,21871,7267,16,63,21,98,67469,1351,26688,26671,17,24592,26671,17711,5596,9745,312,2058,6877,1903,2661,1180
25_滋賀県,25209,甲賀市,Koka-shi,2,88358,44014,44344,90901,-2543,-3,482,184,47,48,11271,51974,25113,13,59,28,5887,26859,11268,13,61,26,5384,25115,13845,12,57,31,99,84729,3629,33641,33553,88,32366,33553,19377,6943,9636,477,2321,9452,2965,4295,3060
25_滋賀県,25210,野洲市,Yasu-shi,2,50513,25121,25392,49889,624,1,80,630,46,46,7141,30073,13299,14,60,26,3727,15383,6011,15,61,24,3414,14690,7288,13,58,29,99,49861,652,19659,19643,16,18143,19643,11952,4142,6169,259,1382,5523,1598,2572,1435
25_滋賀県,25211,湖南市,Konan-shi,2,54460,28168,26292,54289,171,0,70,774,45,46,7214,33769,13477,13,62,25,3766,18129,6273,13,64,22,3448,15640,7204,13,60,27,107,51102,3358,22498,22455,43,21286,22455,12901,4604,6427,320,1550,7546,1792,2754,1231
25_滋賀県,25212,高島市,Takashima-shi,2,46377,22762,23615,50025,-3648,-7,693,67,52,55,4984,24657,16736,11,53,36,2623,12640,7499,12,56,33,2361,12017,9237,10,51,39,96,45898,479,18037,17983,54,18149,17983,10768,4533,4594,252,1389,4779,2634,3152,1452
25_滋賀県,25213,東近江市,Higashiomi-shi,2,112819,56296,56523,114180,-1361,-1,388,291,46,47,15203,67176,30440,14,60,27,7805,34914,13577,14,62,24,7398,32262,16863,13,57,30,100,108963,3856,42899,42817,82,40691,42817,23691,8088,12114,608,2881,12816,3760,4915,4335
25_滋賀県,25214,米原市,Maibara-shi,2,37225,18051,19174,38719,-1494,-4,250,149,48,50,4814,21248,11163,13,57,30,2471,10693,4887,14,59,27,2343,10555,6276,12,55,33,94,36688,537,13385,13369,16,13236,13369,8081,2838,4130,186,927,2973,1372,1916,1521
25_滋賀県,25383,日野町,Hino-cho,3,20964,10555,10409,21873,-909,-4,118,178,49,50,2584,11908,6472,12,57,31,1350,6294,2911,13,60,28,1234,5614,3561,12,54,34,101,20339,625,7932,7918,14,7728,7918,4305,1552,2087,115,551,2287,733,1037,866
25_滋賀県,25384,竜王町,Ryuo-cho,3,11789,6192,5597,12434,-645,-5,45,265,47,47,1510,6949,3330,13,59,28,788,3881,1523,13,63,25,722,3068,1807,13,55,32,111,11678,111,4435,4425,10,4266,4425,2218,813,1144,48,213,1424,382,528,580
25_滋賀県,25425,愛荘町,Aisho-cho,3,20893,10373,10520,20778,115,1,38,550,44,43,3382,12659,4852,16,61,23,1719,6505,2149,17,63,21,1663,6154,2703,16,59,26,99,19892,1001,7841,7834,7,7209,7834,4160,1278,2271,105,506,2357,570,753,705
25_滋賀県,25441,豊郷町,Toyosato-cho,3,7132,3458,3674,7422,-290,-4,8,914,46,47,1035,4093,2004,15,57,28,512,2066,880,15,60,25,523,2027,1124,14,55,31,94,6944,188,2629,2610,19,2606,2610,1525,481,745,53,246,727,282,313,230
