番号,避難場所名,有効面積 (㎡),収容人数 (人),住所1,住所２,LocName
1,小松市民センター,323,190,北小松565,滋賀県大津市北小松565,滋賀県/大津市/北小松/５６５番地
2,小松小学校体育館,934,549,南小松1122,滋賀県大津市南小松1122,滋賀県/大津市/南小松/１１２２番地
3,小松小学校グラウンド,"6,620","6,620",南小松1122,滋賀県大津市南小松1122,滋賀県/大津市/南小松/１１２２番地
4,びわこ成蹊スポーツ大学グラウンド,"21,393","21,393",北比良1204,滋賀県大津市北比良1204,滋賀県/大津市/北比良/１２０４番地
5,木戸市民センター,"4,610","2,711",木戸58,滋賀県大津市木戸58,滋賀県/大津市/木戸/５８番地
6,木戸小学校体育館,906,532,荒川1000,滋賀県大津市荒川1000,滋賀県/大津市/荒川/１０００番地
7,木戸小学校グラウンド,"17,035","17,035",荒川1000,滋賀県大津市荒川1000,滋賀県/大津市/荒川/１０００番地
8,志賀中学校体育館,879,517,南船路1029,滋賀県大津市南船路1029,滋賀県/大津市/南船路/１０２９番地
9,志賀中学校グラウンド,"27,070","27,070",南船路1029,滋賀県大津市南船路1029,滋賀県/大津市/南船路/１０２９番地
10,志賀北幼稚園,"1,051",618,荒川880,滋賀県大津市荒川880,滋賀県/大津市/荒川/８８０番地
11,和邇小学校体育館,769,452,和邇中190,滋賀県大津市和邇中190,滋賀県/大津市/和邇中/１９０番地
12,和邇小学校グラウンド,"7,695","7,695",和邇中190,滋賀県大津市和邇中190,滋賀県/大津市/和邇中/１９０番地
13,和邇文化センター,"1,776","1,044",和邇高城12,滋賀県大津市和邇高城12,滋賀県/大津市/和邇高城/１２番地
14,和邇市民体育館,"1,370",805,和邇高城27-2,滋賀県大津市和邇高城27-2,滋賀県/大津市/和邇高城/２７番地
15,志賀南幼稚園,"1,709","1,005",和邇今宿482-1,滋賀県大津市和邇今宿482-1,滋賀県/大津市/和邇今宿/４８２番地
16,和邇市民運動広場,"19,830","19,830",和邇今宿851,滋賀県大津市和邇今宿851,滋賀県/大津市/和邇今宿/８５１番地
17,道の駅妹子の郷駐車場,"12,183","12,183",大津市和邇中528,滋賀県大津市大津市和邇中528,滋賀県/大津市/大萱
18,道の駅妹子の郷施設棟,"1,115",655,大津市和邇中528,滋賀県大津市大津市和邇中528,滋賀県/大津市/大萱
19,小野市民センター,449,263,湖青一丁目1-2,滋賀県大津市湖青一丁目1-2,滋賀県/大津市/湖青/一丁目/１番
20,小野小学校体育館,799,469,水明一丁目34-2,滋賀県大津市水明一丁目34-2,滋賀県/大津市/水明/一丁目/３４番
21,小野小学校グラウンド,"16,850","16,850",水明一丁目34-2,滋賀県大津市水明一丁目34-2,滋賀県/大津市/水明/一丁目/３４番
22,比良ゴルフ場,"170,000","170,000",小野1611,滋賀県大津市小野1611,滋賀県/大津市/小野/１６１１番地
23,葛川市民センター,131,77,葛川坊村町237-37,滋賀県大津市葛川坊村町237-37,滋賀県/大津市/葛川坊村町
24,葛川少年自然の家,751,441,葛川坊村町243,滋賀県大津市葛川坊村町243,滋賀県/大津市/葛川坊村町
25,葛川小学校校舎,569,334,葛川中村町108-1,滋賀県大津市葛川中村町108-1,滋賀県/大津市/葛川中村町
26,葛川中学校校舎,744,437,葛川中村町108-1,滋賀県大津市葛川中村町108-1,滋賀県/大津市/葛川中村町
